Estadística del Padrón Continuo a 1 de enero de 2012. Datos por municipios,,,,,,,,,,,,,,,,,,,,,
  48.- Bizkaia,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,,,,
Units:personas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más
Ambos sexos,,,,,,,,,,,,,,,,,,,,,
   48001-Abadiño,495,390,274,257,338,467,653,709,619,525,545,519,451,425,231,212,158,72,35,7,3
   48002-Abanto y Ciérvana-Abanto Zierbena,425,480,452,398,463,518,716,833,929,944,835,634,532,377,288,334,290,195,54,9,2
   48003-Amorebieta-Etxano,995,935,795,832,843,1086,1485,1661,1597,1493,1314,1146,1058,912,666,710,550,326,87,20,2
   48004-Amoroto,16,24,22,14,15,21,28,28,28,33,48,21,22,16,14,17,18,12,6,1,1
   48005-Arakaldo,12,8,8,3,2,2,11,14,19,11,7,3,2,4,8,5,3,3,0,1,0
   48006-Arantzazu,22,18,15,8,15,24,41,25,25,26,28,30,15,17,13,16,10,8,4,0,0
   48007-Munitibar-Arbatzegi Gerrikaitz,19,15,17,18,18,15,32,27,34,43,50,30,29,11,17,18,26,16,3,0,0
   48008-Artzentales,29,29,29,52,29,37,42,46,52,65,81,57,52,36,33,37,29,18,6,1,0
   48009-Arrankudiaga,69,44,44,35,37,34,58,91,98,80,86,68,42,46,29,47,31,14,7,1,0
   48010-Arrieta,23,29,29,22,15,14,29,51,46,59,59,41,28,18,17,25,20,17,7,2,0
   48011-Arrigorriaga,668,724,608,604,607,672,842,1110,1151,1214,1067,831,578,427,357,405,371,208,76,5,0
   48012-Bakio,157,147,90,75,98,153,232,267,249,209,210,168,146,113,82,102,59,29,13,5,0
   48013-Barakaldo,4846,3981,3315,3307,4110,6042,8683,9159,7885,7525,7374,6861,6160,5054,4167,4942,3971,2131,703,132,21
   48014-Barrika,90,70,73,60,43,96,113,143,143,110,108,106,91,71,50,45,44,25,21,5,3
   48015-Basauri,1593,1770,1577,1377,1698,2287,3043,3217,3366,3392,3046,2822,2745,2675,2215,2354,1635,842,251,57,9
   48016-Berango,455,480,347,239,300,343,533,749,617,537,514,442,390,317,204,192,132,72,15,5,0
   48017-Bermeo,820,812,696,625,734,1045,1337,1373,1393,1355,1256,1097,1058,946,680,812,587,365,122,28,3
   48018-Berriatua,78,64,46,30,57,88,134,132,104,64,77,65,99,51,39,59,43,12,8,4,0
   48019-Berriz,318,289,182,156,214,266,393,511,424,360,310,302,272,218,200,187,147,74,27,5,0
   48020-Bilbao,14695,14409,13599,13426,15759,20392,25293,27861,27663,28885,27585,22827,20409,19062,15440,18017,14297,8120,3009,776,105
   48021-Busturia,92,70,67,43,51,94,117,169,130,129,100,146,125,102,80,89,59,55,24,3,0
   48022-Karrantza Harana/Valle de Carranza,82,100,74,95,140,151,181,180,209,231,241,196,206,188,133,147,126,93,24,9,0
   48023-Artea,46,41,41,31,23,48,49,69,79,58,53,57,64,30,18,23,26,21,5,1,0
   48024-Zeanuri,73,57,68,38,43,61,91,110,130,106,102,102,76,61,42,51,43,42,13,3,0
   48025-Zeberio,55,48,47,33,42,44,74,93,92,108,82,64,51,41,42,54,49,35,16,3,2
   48026-Dima,76,71,68,50,39,63,107,118,112,127,123,80,70,49,44,56,54,41,13,4,0
   48027-Durango,1508,1559,1412,1232,1294,1743,2163,2468,2539,2473,2259,1672,1474,1311,975,1063,819,471,151,29,3
   48028-Ea,31,30,28,20,41,32,48,71,62,71,88,79,61,45,46,57,29,33,12,2,0
   48029-Etxebarri,802,649,398,303,392,661,1121,1309,1068,747,610,499,546,444,273,223,180,77,30,4,1
   48030-Etxebarria,37,30,43,44,34,48,62,50,60,61,70,64,39,39,39,37,28,17,3,0,0
   48031-Elantxobe,13,8,7,8,14,27,28,24,24,20,38,34,30,33,23,27,20,14,8,1,1
   48032-Elorrio,345,370,308,284,331,430,477,502,606,584,600,480,439,388,307,356,234,166,57,16,3
   48033-Ereño,10,6,7,8,9,16,15,19,17,16,22,20,24,19,12,12,11,11,5,1,0
   48034-Ermua,681,706,694,622,722,920,1244,1368,1333,1237,1213,1145,1074,1036,837,742,424,201,56,17,6
   48035-Fruiz,37,32,25,16,13,23,48,67,54,39,34,30,26,18,16,27,20,8,4,0,0
   48036-Galdakao,1226,1249,1223,1357,1346,1785,2158,2228,2134,2605,2592,2252,1945,1446,1035,1069,849,453,134,37,7
   48037-Galdames,38,29,22,23,27,42,50,68,84,73,70,57,67,45,40,30,39,26,13,0,0
   48038-Gamiz-Fika,47,54,76,73,63,62,67,79,108,145,150,98,87,62,32,60,50,24,9,3,0
   48039-Garai,26,22,17,10,6,19,17,38,41,28,32,19,16,16,9,13,8,2,3,0,0
   48040-Gatika,93,97,82,54,55,84,117,157,145,120,138,98,102,80,55,56,42,28,16,4,0
   48041-Gautegiz Arteaga,32,43,46,40,38,51,52,74,72,80,91,65,63,37,34,37,29,17,8,1,0
   48042-Gordexola,88,82,71,51,70,87,98,151,181,157,138,95,90,84,66,84,60,56,19,5,0
   48043-Gorliz,288,336,282,230,228,274,359,516,515,519,479,372,301,255,175,196,129,46,29,3,0
   48044-Getxo,3282,3455,3531,3636,4236,4867,5684,5571,5568,5986,6450,6069,6011,4929,3213,3088,2253,1520,490,175,12
   48045-Güeñes,361,336,241,237,254,391,521,616,554,550,461,364,339,277,225,360,219,115,47,12,3
   48046-Gernika-Lumo,859,805,721,688,785,1050,1287,1371,1270,1300,1169,1007,1015,904,680,798,563,390,116,30,4
   48047-Gizaburuaga,15,10,10,9,9,10,14,20,16,18,14,10,14,4,3,13,10,4,1,0,0
   48048-Ibarrangelu,27,24,22,15,21,27,37,46,52,78,52,51,32,23,33,37,37,20,5,2,0
   48049-Ispaster,45,40,20,16,25,34,52,65,57,55,63,43,48,35,18,32,27,19,8,0,2
   48050-Izurtza,11,8,3,25,16,18,26,19,20,21,24,22,19,7,7,12,6,7,3,2,0
   48051-Lanestosa,6,7,8,10,7,20,11,10,19,22,29,26,15,10,17,20,13,11,2,0,1
   48052-Larrabetzu,136,124,94,53,76,106,160,194,177,137,150,125,92,75,58,75,73,51,15,3,0
   48053-Laukiz,56,59,75,62,38,55,63,102,97,98,93,84,61,62,47,43,36,14,4,0,0
   48054-Leioa,1669,1582,1470,1314,1407,1743,2582,2836,2480,2463,2362,2115,2165,1526,937,826,589,371,150,36,3
   48055-Lemoa,216,158,131,107,143,219,396,391,309,228,226,173,160,115,123,130,128,76,16,6,0
   48056-Lemoiz,66,60,49,36,39,42,92,105,88,83,115,65,46,47,40,49,31,27,2,1,0
   48057-Lekeitio,333,367,310,275,316,365,467,520,632,613,595,498,422,431,331,413,291,164,61,13,2
   48058-Mallabia,69,44,39,53,46,58,98,121,104,108,76,75,86,81,37,47,35,15,5,0,1
   48059-Mañaria,32,14,14,19,25,29,42,47,34,40,41,46,26,35,18,15,15,13,2,0,0
   48060-Markina-Xemein,269,226,203,187,223,298,405,422,360,380,385,348,295,236,194,211,176,108,34,7,2
   48061-Maruri-Jatabe,53,52,42,32,44,33,67,84,93,81,86,69,55,50,25,40,39,11,4,1,0
   48062-Mendata,17,27,13,10,15,12,22,30,33,31,25,29,30,26,18,16,15,5,3,1,0
   48063-Mendexa,19,22,18,19,25,20,9,27,42,54,43,30,26,27,12,17,13,12,4,0,0
   48064-Meñaka,47,39,23,20,26,25,58,69,79,53,48,60,52,43,21,35,29,20,6,1,0
   48065-Ugao-Miraballes,186,165,169,162,202,227,346,347,291,364,308,281,245,220,140,163,140,77,25,1,0
   48066-Morga,10,17,10,14,13,24,20,30,41,39,37,29,27,26,16,15,17,14,6,1,0
   48067-Muxika,86,74,52,45,41,61,103,135,125,130,119,70,93,75,60,78,76,34,10,1,0
   48068-Mundaka,93,72,65,73,61,91,154,159,137,146,174,134,130,123,84,90,80,45,23,6,0
   48069-Mungia,1027,988,898,805,782,1022,1337,1635,1418,1462,1245,1021,899,725,477,495,382,193,84,15,2
   48070-Aulesti,23,35,31,19,18,36,37,46,53,54,53,47,27,32,46,39,39,27,7,0,0
   48071-Muskiz,410,369,302,274,357,435,686,694,661,617,599,460,386,309,266,269,244,138,52,10,3
   48072-Otxandio,90,61,44,34,49,69,131,126,102,84,90,80,75,58,52,76,55,23,2,0,1
   48073-Ondarroa,315,358,344,367,420,503,528,655,726,755,678,626,538,552,433,477,328,173,52,10,0
   48074-Urduña/Orduña,214,179,172,137,191,236,358,390,322,373,292,297,250,194,152,193,142,96,37,12,0
   48075-Orozko,138,152,148,82,77,119,169,225,251,257,194,112,135,111,90,118,88,56,21,6,0
   48076-Sukarrieta,11,18,11,13,11,9,21,21,33,33,25,24,32,31,13,23,16,8,4,0,0
   48077-Plentzia,210,248,210,202,210,217,286,341,387,404,400,283,241,190,127,132,118,76,26,5,1
   48078-Portugalete,1810,1871,1715,1630,2049,2655,3358,3682,3708,3738,3711,3240,3225,3057,2429,2583,1895,995,327,68,10
   48079-Errigoiti,19,18,14,16,14,13,49,51,31,59,48,37,34,30,22,40,24,11,7,0,0
   48080-Valle de Trápaga-Trapagaran,520,590,494,464,458,649,871,1045,1060,1023,935,848,761,726,512,534,410,209,67,12,1
   48081-Lezama,139,130,132,103,110,128,167,229,200,224,207,164,141,93,92,87,79,39,7,5,0
   48082-Santurtzi,2073,2071,1769,1769,2001,2731,3554,4047,3911,3728,3672,3164,2837,2618,2066,2236,1685,881,265,48,3
   48083-Ortuella,346,359,366,305,382,509,618,697,722,640,708,625,522,424,280,350,322,180,43,16,2
   48084-Sestao,1217,1128,1044,1024,1209,1575,2225,2403,2245,2369,2104,1779,1772,1795,1393,1476,1149,662,212,44,6
   48085-Sopelana,820,730,584,581,565,800,1138,1312,1171,1109,1035,849,708,510,291,267,231,156,47,8,0
   48086-Sopuerta,131,109,77,78,101,148,222,237,205,213,218,161,183,116,87,115,107,68,20,7,1
   48087-Trucios-Turtzioz,16,17,14,14,24,39,41,42,41,45,41,39,42,29,18,37,22,8,8,1,0
   48088-Ubide,11,3,5,5,10,9,17,16,22,19,15,8,7,10,3,8,8,7,1,0,0
   48089-Urduliz,222,165,148,149,130,202,338,388,306,338,251,232,202,170,134,118,82,39,14,3,0
   48090-Balmaseda,374,350,295,282,348,476,616,697,602,587,555,475,436,417,287,404,283,158,76,16,3
   48091-Atxondo,61,62,52,59,91,101,94,115,89,101,122,124,111,68,49,50,27,22,13,4,0
   48092-Bedia,40,55,39,32,40,53,75,82,81,90,88,59,59,39,44,54,38,15,2,2,0
   48093-Areatza,65,76,60,45,54,72,92,113,102,93,92,82,58,53,37,47,50,20,13,2,0
   48094-Igorre,265,190,149,152,239,275,337,386,355,313,314,313,265,200,142,141,112,55,27,5,0
   48095-Zaldibar,180,134,106,105,137,197,279,285,238,224,214,226,189,169,108,123,82,45,18,3,0
   48096-Zalla,422,401,305,310,432,572,714,695,669,703,633,676,468,408,283,302,237,155,48,9,0
   48097-Zaratamo,71,79,79,77,69,78,138,140,141,151,133,106,95,62,75,82,59,15,9,4,0
   48901-Derio,342,306,236,183,199,298,456,597,546,431,354,291,297,339,267,227,147,74,27,9,1
   48902-Erandio,1304,1138,872,891,998,1415,2101,2471,2177,1765,1587,1556,1486,1403,979,947,685,362,147,34,8
   48903-Loiu,126,117,108,167,98,113,162,240,209,172,189,154,110,104,85,95,113,92,33,10,1
   48904-Sondika,250,248,232,188,169,211,279,347,402,439,345,261,193,187,203,241,201,96,43,11,2
   48905-Zamudio,188,180,94,99,133,186,240,349,305,225,230,217,189,159,150,148,101,59,19,10,0
   48906-Forua,45,36,43,31,46,51,57,72,75,61,87,87,77,50,33,57,36,18,6,1,0
   48907-Kortezubi,22,20,19,15,17,19,32,39,31,42,37,21,19,27,11,18,18,11,5,0,0
   48908-Murueta,12,16,21,9,14,18,16,18,32,38,33,19,13,6,11,10,10,4,2,0,0
   48909-Nabarniz,9,12,10,6,11,6,7,17,28,20,18,22,15,11,9,8,8,4,6,0,0
   48910-Iurreta,194,164,131,140,150,279,314,341,344,266,262,236,272,203,181,209,122,50,22,4,0
   48911-Ajangiz,24,23,21,13,19,25,31,28,32,39,52,35,22,27,11,24,14,11,4,2,0
   48912-Alonsotegi,145,131,90,102,102,137,251,270,247,213,202,176,197,163,95,133,97,64,22,8,0
   48913-Zierbena,55,50,54,48,77,106,121,132,142,134,112,107,75,67,58,53,32,28,8,2,0
   48914-Arratzu,18,14,13,12,10,25,28,26,31,32,30,36,26,18,10,21,19,10,7,2,0
   48915-Ziortza-Bolibar,22,9,8,17,16,21,41,36,23,30,35,36,25,27,17,19,13,19,4,0,0
,,,,,,,,,,,,,,,,,,,,,
Source:Instituto Nacional de Estadística,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Paseo de la Castellana, 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:",,,,,,,,,,,,,,,,,,,,,
